horsepower,mpg,cylinders,displacement,weight,acceleration,model year,origin,car name
92.0,26.0,4,156.0,2585,14.5,82,1.0,chrysler lebaron medallion
112.0,22.0,6,232.0,2835,14.7,82,1.0,ford granada l
96.0,32.0,4,144.0,2665,13.9,82,3.0,toyota celica gt
84.0,36.0,4,135.0,2370,13.0,82,1.0,dodge charger 2.2
90.0,27.0,4,151.0,2950,17.3,82,1.0,chevrolet camaro
86.0,27.0,4,140.0,2790,15.6,82,1.0,ford mustang gl
52.0,44.0,4,97.0,2130,24.6,82,2.0,vw pickup
84.0,32.0,4,135.0,2295,11.6,82,1.0,dodge rampage
79.0,28.0,4,120.0,2625,18.6,82,1.0,ford ranger
82.0,31.0,4,119.0,2720,19.4,82,1.0,chevy s-10
